19:33:59.527  CMBT   | Killed Py6Jl	 Ship_Race3_M_T2_Pirate|0000000248;	 killer Feresey|0000000204 Weapon_Plasmagun_Heavy_T5_Pirate 
20:23:48.618  CMBT   | Killed Gladiator	 Ship_Race1_L_T3_Faction2|0000000521;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:23:51.982  CMBT   | Killed HealBot(MaxVerzila)|0000017369;	 killer Feresey|0000000419 Weapon_Railgun_Sniper_T5_Rel 
20:24:06.293  CMBT   | Killed Feresey	 Ship_Race1_M_T5_Faction2|0000000419;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:24:10.606  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000019130;	 killer MaxVerzila|0000019130 (suicide) <FriendlyFire>
20:24:10.607  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T4_Faction1|0000000645;	 killer Py6Jl|0000000459 Weapon_Railgun_Basic_T5_Rel 
20:24:19.536  CMBT   | Killed TENEVOY	 Ship_Race1_M_T5|0000000491;	 killer FireWarrior|0000000582 Weapon_Plasmagun_Basic_T5_Rel 
20:25:09.328  CMBT   | Killed HealBot(MaxVerzila)|0000025934;	 killer Gladiator|0000019886 Weapon_Nanobots_Cloud_T5_Rel 
20:25:23.529  CMBT   | Killed Feresey	 Ship_Race2_M_T5_Faction1|0000022160;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:25:49.854  CMBT   | Killed Py6Jl	 Ship_Race1_M_T5_Faction1|0000000459;	 killer Sumelru|0000000615 Weapon_Railgun_Sniper_T5_Rel 
20:26:09.787  CMBT   | Killed Feresey	 Ship_Race2_S_T5_Faction2|0000029658;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:26:10.619  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000031474;	 killer TENEVOY|0000022858 Module_GuidedMissile_T5_Base 
20:26:21.451  CMBT   | Killed Py6Jl	 Ship_Race2_L_T5_Faction1|0000031798;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:27:02.495  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000036241;	 killer Feresey|0000033637 Weapon_Railgun_Sniper_T5_Rel 
20:27:06.756  CMBT   | Killed Gladiator	 Ship_Race1_L_T4_Faction1|0000019886;	 killer Sumelru|0000000615 SpaceMissile_Torpedo_T4_Mk3 
20:27:12.816  CMBT   | Killed Feresey	 Ship_Race1_M_T5|0000033637;	 killer YanFei|0000000551 (crash) 
20:27:21.570  CMBT   | Killed Py6Jl	 Ship_Race1_M_T4_Faction1|0000034987;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:27:41.568  CMBT   | Killed TENEVOY	 Ship_Race2_L_T5_Faction1|0000022858;	 killer FireWarrior|0000000582 Module_GuidedMissile_T5_Base 
20:27:58.470  CMBT   | Killed Gladiator	 Ship_Race1_L_T5_Faction1|0000039834;	 killer Sumelru|0000000615 Weapon_Railgun_Sniper_T5_Rel 
20:28:04.750  CMBT   | Killed HealBot(MaxVerzila)|0000043574;	 killer Py6Jl|0000040622 SpaceMissile_Ion_T4_Mk3 
20:28:04.751  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000043625;	 killer Py6Jl|0000040622 SpaceMissile_Ion_T4_Mk3 
20:28:06.557  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_Faction1|0000022521;	 killer TENEVOY|0000043357 Module_GuidedMissile_T4_Base 
20:28:10.986  CMBT   | Killed Py6Jl	 Ship_Race2_M_T4_Faction2|0000040622;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:28:22.280  CMBT   | Killed GuardDrone|0000000079;	 killer FireWarrior|0000000582 Weapon_Plasmagun_Basic_T5_Rel 
20:28:27.495  CMBT   | Killed GuardDrone|0000000072;	 killer Sumelru|0000000615 Weapon_Railgun_Sniper_T5_Rel 
20:28:28.629  CMBT   | Killed GuardDrone|0000000093;	 killer Sumelru|0000000615 Weapon_Railgun_Sniper_T5_Rel 
20:28:43.036  CMBT   | Killed Gladiator	 Ship_Race3_L_T4|0000044774;	 killer FireWarrior|0000000582 Weapon_Plasmagun_Basic_T5_Rel 
20:28:47.524  CMBT   | Killed GuardDrone|0000000086;	 killer FireWarrior|0000000582 Weapon_Plasmagun_Basic_T5_Rel 
20:28:59.992  CMBT   | Killed GuardDrone|0000000159;	 killer TENEVOY|0000043357 Weapon_Laser_Basic_T5_Rel 
20:29:31.365  CMBT   | Killed TENEVOY	 Ship_Race2_L_T4_Faction1|0000043357;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:30:00.570  CMBT   | Killed HealBot(MaxVerzila)|0000049850;	 killer TENEVOY|0000048780 SpaceMissile_Ion_T5_Mk3 
20:30:07.973  CMBT   | Killed TENEVOY	 Ship_Race1_M_T5_Faction1|0000048780;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:35:25.541  CMBT   | Killed HealBot(MaxVerzila)|0000004893;	 killer Feresey|0000000513 Weapon_Railgun_Basic_T5_Rel 
20:35:26.500  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000005228;	 killer Feresey|0000000513 Weapon_Railgun_Basic_T5_Rel 
20:35:28.796  CMBT   | Killed Isimiel	 Ship_Race2_L_T4_Faction2|0000000643;	 killer YanFei|0000000361 Weapon_Railgun_Basic_T5_Rel 
20:35:44.174  CMBT   | Killed HealBot(MaxVerzila)|0000010158;	 killer Py6Jl|0000000553 SpaceMissile_Ion_T5_Mk3 
20:35:44.174  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000010564;	 killer Py6Jl|0000000553 SpaceMissile_Ion_T5_Mk3 
20:35:47.146  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T4_Faction1|0000000455;	 killer Py6Jl|0000000553 Weapon_Railgun_Basic_T5_Rel 
20:35:47.372  CMBT   | Killed Feresey	 Ship_Race1_M_T5|0000000513;	 killer Sumelru|0000000425 Weapon_Railgun_Sniper_T5_Rel 
20:35:54.714  CMBT   | Killed GuardDrone|0000000207;	 killer xxxStretchxxx|0000000485 Weapon_Laser_Basic_T5_Rel 
20:36:05.767  CMBT   | Killed YanFei	 Ship_Race1_M_T5|0000000361;	 killer TENEVOY|0000000585 Weapon_Plasmagun_Basic_T5_Rel 
20:36:09.915  CMBT   | Killed GuardDrone|0000000214;	 killer xxxStretchxxx|0000000485 SpaceMissile_Volley_T5_Mk3 
20:36:14.060  CMBT   | Killed Gladiator	 Ship_Race3_L_T4|0000000613;	 killer FireWarrior|0000000392 Weapon_Plasmagun_Basic_T5_Rel 
20:37:09.451  CMBT   | Killed GuardDrone|0000000221;	 killer xxxStretchxxx|0000000485 Weapon_Laser_Basic_T5_Rel 
20:37:19.277  CMBT   | Killed Isimiel	 Ship_PresetE_R1_M_T5_Faction2|0000011327;	 killer FireWarrior|0000000392 Weapon_Plasmagun_Basic_T5_Rel 
20:37:19.776  CMBT   | Killed HealBot(MaxVerzila)|0000016029;	 killer TENEVOY|0000000585 Module_IonRay_T5_Rel 
20:37:19.782  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000018313;	 killer TENEVOY|0000000585 Module_IonRay_T5_Rel 
20:37:36.902  CMBT   | Killed TENEVOY	 Ship_Race1_S_T5_Faction1|0000000585;	 killer YanFei|0000014662 Weapon_Laser_Heavy_T5_Rel 
20:37:46.445  CMBT   | Killed GuardDrone|0000000200;	 killer xxxStretchxxx|0000000485 Weapon_Laser_Basic_T5_Rel 
20:38:08.384  CMBT   | Killed Gladiator	 Ship_Race1_L_T4_Faction1|0000014910;	 killer YanFei|0000014662 SpaceMissile_Kinetic_T5_Mk3 
20:38:15.390  CMBT   | Killed Feresey	 Ship_Race2_M_T5_Faction1|0000013677;	 killer FireWarrior|0000000392 Weapon_Plasmagun_Basic_T5_Rel 
20:38:20.668  CMBT   | Killed Py6Jl	 Ship_Race1_M_T5_Faction1|0000000553;	 killer YanFei|0000014662 Weapon_Laser_Heavy_T5_Rel 
20:38:47.606  CMBT   | Killed Isimiel	 Ship_Race2_L_T5|0000019601;	 killer YanFei|0000014662 Weapon_Laser_Heavy_T5_Rel 
20:38:56.297  CMBT   | Killed GuardDrone|0000000163;	 killer YanFei|0000014662 Weapon_Laser_Heavy_T5_Rel 
20:39:01.794  CMBT   | Killed GuardDrone|0000000142;	 killer YanFei|0000014662 Weapon_Laser_Heavy_T5_Rel 
20:39:04.595  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000025237;	 killer Feresey|0000024320 Weapon_Railgun_Sniper_T5_Rel 
20:39:05.711  CMBT   | Killed GuardDrone|0000000156;	 killer MaxVerzila|0000013861 Weapon_Nanobots_Cloud_T5_Rel 
20:39:08.071  CMBT   | Killed GuardDrone|0000000149;	 killer YanFei|0000014662 Weapon_Laser_Heavy_T5_Rel 
20:39:20.907  CMBT   | Killed xxxStretchxxx	 Ship_Race2_L_T5_Faction2|0000000485;	 killer TENEVOY|0000021377 SpaceMissile_MineField_T5_Mk3 
20:39:29.375  CMBT   | Killed Feresey	 Ship_Race1_M_T5_Faction2|0000024320;	 killer YanFei|0000014662 Weapon_Laser_Heavy_T5_Rel 
20:41:00.018  CMBT   | Killed TENEVOY	 Ship_Race2_L_T5_Faction1|0000021377;	 killer Sumelru|0000000425 Weapon_Railgun_Sniper_T5_Rel 
20:41:47.894  CMBT   | Killed Isimiel	 Ship_Race2_L_T5_Faction2|0000026795;	 killer Sumelru|0000000425 Weapon_Railgun_Sniper_T5_Rel 
20:41:48.575  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000034130;	 killer Feresey|0000028560 SpaceMissile_AAMKin_T5_Mk3 
20:42:08.105  CMBT   | Killed HealBot(MaxVerzila)|0000035343;	 killer MaxVerzila|0000035343 (suicide) <FriendlyFire>
20:42:08.106  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_Faction1|0000013861;	 killer TENEVOY|0000033848 Weapon_Railgun_Sniper_T5_Rel 
20:42:13.492  CMBT   | Killed Gladiator	 Ship_Race1_L_T3_Faction2|0000024071;	 killer FireWarrior|0000000392 Weapon_Plasmagun_Basic_T5_Rel 
20:42:31.180  CMBT   | Killed Sumelru	 Ship_Race1_M_T5_Faction1|0000000425;	 killer TENEVOY|0000033848 Weapon_Railgun_Sniper_T5_Rel 
20:42:33.885  CMBT   | Killed GuardDrone|0000000171;	 killer xxxStretchxxx|0000028462 Weapon_Laser_Basic_T5_Epic 
20:42:36.922  CMBT   | Killed YanFei	 Ship_Race1_M_T5_Faction2|0000014662;	 killer Feresey|0000028560 Weapon_Railgun_Autofire_T5_Rel 
20:43:13.054  CMBT   | Killed xxxStretchxxx	 Ship_Race2_L_T4_Faction2|0000028462;	 killer Py6Jl|0000025053 Weapon_Laser_Heavy_T5_Rel 
20:43:20.454  CMBT   | Killed HealBot(MaxVerzila)|0000041388;	 killer Gladiator|0000039052 Weapon_Nanobots_Cloud_T5_Rel 
20:43:59.057  CMBT   | Killed HealBot(MaxVerzila)|0000044349;	 killer MaxVerzila|0000044349 (suicide) <FriendlyFire>
20:43:59.058  CMBT   | Killed MaxVerzila	 Ship_Race3_L_T4_Faction1|0000038781;	 killer TENEVOY|0000033848 Weapon_Railgun_Sniper_T5_Rel 
20:44:08.363  CMBT   | Killed Sumelru	 Ship_Race1_M_T4_Faction1|0000039673;	 killer Py6Jl|0000025053 Weapon_Laser_Heavy_T5_Rel 
20:44:12.919  CMBT   | Killed Gladiator	 Ship_Race1_L_T5_Faction1|0000039052;	 killer YanFei|0000039899 SpaceMissile_EMP_T4_Mk3 
20:44:17.810  CMBT   | Killed YanFei	 Ship_Race1_M_T4|0000039899;	 killer Py6Jl|0000025053 Weapon_Laser_Heavy_T5_Rel 
20:44:55.167  CMBT   | Killed Py6Jl	 Ship_Race1_M_T5|0000025053;	 killer Sumelru|0000047323 Weapon_Laser_Heavy_T5_Rel 
20:45:01.180  CMBT   | Killed HealBot(MaxVerzila)|0000047895;	 killer TENEVOY|0000033848 SpaceMissile_Ion_T5_Mk3 
20:45:01.229  CMBT   | Killed MaxVerzila	 Ship_Race3_L_T5_Faction1|0000047052;	 killer TENEVOY|0000033848 SpaceMissile_Ion_T5_Mk3 
20:45:07.925  CMBT   | Killed TENEVOY	 Ship_Race1_M_T5_Faction1|0000033848;	 killer Sumelru|0000047323 Weapon_Laser_Heavy_T5_Rel 
20:45:27.519  CMBT   | Killed Feresey	 Ship_Race2_S_T5_Faction2|0000028560;	 killer FireWarrior|0000000392 Weapon_Plasmagun_Basic_T5_Rel 
20:49:48.182  CMBT   | Killed GuardDrone|0000000107;	 killer Gladiator|0000000708 SpaceMissile_Torpedo_T4_Mk3 
20:49:48.182  CMBT   | Killed GuardDrone|0000000114;	 killer Gladiator|0000000708 SpaceMissile_Torpedo_T4_Mk3 
20:49:48.182  CMBT   | Killed GuardDrone|0000000093;	 killer Gladiator|0000000708 SpaceMissile_Torpedo_T4_Mk3 
20:49:57.219  CMBT   | Killed Concept	 Ship_Race1_L_T5_Faction2|0000000738;	 killer FireWarrior|0000000479 Weapon_Plasmagun_Basic_T5_Rel 
20:50:26.698  CMBT   | Killed HealBot(MaxVerzila)|0000004997;	 killer TENEVOY|0000000680 SpaceMissile_EnergyNullifierField_T5_Mk3 
20:50:30.121  CMBT   | Killed GuardDrone|0000000100;	 killer Feresey|0000000600 Weapon_Laser_Heavy_T5_Rel 
20:50:34.500  CMBT   | Killed GuardDrone|0000000165;	 killer xxxStretchxxx|0000000572 Weapon_Laser_Basic_T5_Rel 
20:50:40.234  CMBT   | Killed TENEVOY	 Ship_Race1_S_T5_Faction1|0000000680;	 killer MaxVerzila|0000000542 SpaceMissile_MineField_T4_Mk3 
20:50:41.182  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000005662;	 killer MaxVerzila|0000005662 (suicide) <FriendlyFire>
20:50:41.183  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T4_Faction1|0000000542;	 killer Feresey|0000000600 Weapon_Laser_Heavy_T5_Rel 
20:50:45.787  CMBT   | Killed Gladiator	 Ship_Race3_L_T4|0000000708;	 killer Sumelru|0000000512 Weapon_Railgun_Sniper_T5_Rel 
20:50:55.830  CMBT   | Killed YanFei	 Ship_Race1_M_T5_Faction2|0000000442;	 killer Py6Jl|0000000644 (crash) 
20:51:08.335  CMBT   | Killed GuardDrone|0000000158;	 killer xxxStretchxxx|0000000572 Weapon_Laser_Basic_T5_Rel 
20:51:25.008  CMBT   | Killed Concept	 Ship_Race1_M_T5|0000003656;	 killer Sumelru|0000000512 Weapon_Railgun_Sniper_T5_Rel 
20:52:05.986  CMBT   | Killed Feresey	 Ship_Race1_M_T5_Faction2|0000000600;	 killer YanFei|0000007016 Weapon_Railgun_Basic_T5_Rel 
20:52:21.090  CMBT   | Killed Gladiator	 Ship_Race1_L_T3_Faction2|0000006556;	 killer FireWarrior|0000000479 SpaceMissile_Torpedo_T4_Mk3 
20:52:33.164  CMBT   | Killed Py6Jl	 Ship_Race1_M_T5|0000000644;	 killer FireWarrior|0000000479 Weapon_Plasmagun_Basic_T5_Rel 
20:52:40.016  CMBT   | Killed Concept	 Ship_Race1_M_T4|0000009305;	 killer Sumelru|0000000512 Weapon_Railgun_Sniper_T5_Rel 
20:52:59.716  CMBT   | Killed TENEVOY	 Ship_Race2_L_T5_Faction1|0000006147;	 killer Sumelru|0000000512 Weapon_Railgun_Sniper_T5_Rel 
20:53:12.970  CMBT   | Killed GuardDrone|0000000151;	 killer YanFei|0000007016 Weapon_Railgun_Basic_T5_Rel 
20:53:17.370  CMBT   | Killed GuardDrone|0000000172;	 killer YanFei|0000007016 Weapon_Railgun_Basic_T5_Rel 
20:53:30.113  CMBT   | Killed HealBot(MaxVerzila)|0000018750;	 killer Gladiator|0000014758 Weapon_Nanobots_Cloud_T5_Rel 
20:53:43.029  CMBT   | Killed Gladiator	 Ship_Race1_L_T4_Faction1|0000014758;	 killer MaxVerzila|0000006336 SpaceMissile_MineField_T5_Mk3 
20:53:44.659  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000021146;	 killer Py6Jl|0000015247 SpaceMissile_Ion_T5_Mk3 
20:53:48.370  CMBT   | Killed Py6Jl	 Ship_Race1_M_T5_Faction1|0000015247;	 killer YanFei|0000007016 Weapon_Railgun_Basic_T5_Rel 
20:53:51.400  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_Faction1|0000006336;	 killer TENEVOY|0000017780 Weapon_Railgun_Basic_T5_Rel 
20:53:58.358  CMBT   | Killed Concept	 Ship_Race1_M_T5_Faction2|0000015713;	 killer YanFei|0000007016 Weapon_Railgun_Basic_T5_Rel 
20:54:13.235  CMBT   | Killed TENEVOY	 Ship_Race1_M_T5|0000017780;	 killer YanFei|0000007016 Weapon_Railgun_Basic_T5_Rel 
20:54:21.608  CMBT   | Killed Feresey	 Ship_Race1_M_T5|0000013349;	 killer YanFei|0000007016 Weapon_Railgun_Basic_T5_Rel 
20:54:54.265  CMBT   | Killed HealBot(MaxVerzila)|0000026813;	 killer Feresey|0000025831 Weapon_Cold_Ray_T5_Rel 
20:55:00.941  CMBT   | Killed FireWarrior	 Ship_Race1_S_T5_Faction1|0000000479;	 killer TENEVOY|0000025487 Weapon_Railgun_Sniper_T5_Rel 
20:55:13.525  CMBT   | Killed YanFei	 Ship_Race1_M_T5|0000007016;	 killer Feresey|0000025831 Weapon_Cold_Ray_T5_Rel 
20:55:20.931  CMBT   | Killed Sumelru	 Ship_Race1_M_T5_Faction1|0000000512;	 killer Gladiator|0000022818 Weapon_Nanobots_Cloud_T5_Rel 
20:55:35.799  CMBT   | Killed GuardDrone|0000000209;	 killer xxxStretchxxx|0000000572 Weapon_Laser_Basic_T5_Rel 
20:56:01.120  CMBT   | Killed GuardDrone|0000000216;	 killer xxxStretchxxx|0000000572 Weapon_Laser_Basic_T5_Rel 
20:56:07.522  CMBT   | Killed FireWarrior	 Ship_Race2_S_T5_Faction1|0000029732;	 killer Py6Jl|0000023285 Weapon_Railgun_Basic_T5_Rel 
20:56:34.187  CMBT   | Killed GuardDrone|0000000230;	 killer xxxStretchxxx|0000000572 Weapon_Laser_Basic_T5_Rel 
20:56:53.055  CMBT   | Killed GuardDrone|0000000223;	 killer xxxStretchxxx|0000000572 Weapon_Laser_Basic_T5_Rel 
20:57:16.799  CMBT   | Killed Gladiator	 Ship_Race1_L_T5_Faction1|0000022818;	 killer YanFei|0000030369 Weapon_Railgun_Basic_T5_Rel 
20:57:22.300  CMBT   | Killed Sumelru	 Ship_Race1_M_T4_Faction1|0000030602;	 killer TENEVOY|0000025487 Weapon_Railgun_Sniper_T5_Rel 
20:57:30.438  CMBT   | Killed HealBot(MaxVerzila)|0000040495;	 killer TENEVOY|0000025487 Weapon_Railgun_Sniper_T5_Rel 
20:57:38.747  CMBT   | Killed TENEVOY	 Ship_Race1_M_T5_Faction1|0000025487;	 killer YanFei|0000030369 Weapon_Railgun_Basic_T5_Rel 
20:57:49.971  CMBT   | Killed Feresey	 Ship_Race2_M_T5_Faction1|0000025831;	 killer YanFei|0000030369 Weapon_Railgun_Basic_T5_Rel 
20:57:53.343  CMBT   | Killed Py6Jl	 Ship_Race1_M_T4_Faction1|0000023285;	 killer YanFei|0000030369 Weapon_Railgun_Basic_T5_Rel 
20:58:23.485  CMBT   | Killed xxxStretchxxx	 Ship_Race2_L_T5_Faction2|0000000572;	 killer Feresey|0000044000 Weapon_Railgun_Autofire_T5_Rel 
20:58:46.773  CMBT   | Killed Py6Jl	 Ship_Race2_M_T4_Faction2|0000044048;	 killer Sumelru|0000042872 Weapon_Laser_Heavy_T5_Rel 
20:58:56.822  CMBT   | Killed Feresey	 Ship_Race2_S_T5_Faction2|0000044000;	 killer Sumelru|0000042872 Weapon_Laser_Heavy_T5_Rel 
21:09:09.833  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000002031;	 killer ClanShip_MainTurret_Empire|0000000271 ClanShip_MainTurret_Empire 
21:09:14.879  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000002011;	 killer ClanShip_MainTurret_Empire|0000000285 ClanShip_MainTurret_Empire <FriendlyFire>
21:09:24.417  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000002051;	 killer Gladiator|0000003117 Weapon_PlasmaBursts_T5_Rel 
21:09:25.035  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000002071;	 killer Nafalar|0000003536 Weapon_ZhenGun_T5_Epic 
21:09:25.090  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000788;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:09:39.473  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000773;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:09:39.743  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000633;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:09:45.356  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000508;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:09:45.356  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000515;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:09:45.356  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000461;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:09:45.356  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000752;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:09:45.357  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000507;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:09:45.357  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000776;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:09:45.357  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000516;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:09:49.510  CMBT   | Killed ClanShip_Torpedo|0000013734;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:09:50.251  CMBT   | Killed ClanShip_Torpedo|0000013737;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:09:52.766  CMBT   | Killed ClanShip_Torpedo|0000013732;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:09:53.664  CMBT   | Killed ClanShip_Torpedo|0000013739;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:09:57.885  CMBT   | Killed ClanShip_SideTurret_t5|0000000733;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:09:59.944  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000764;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:10:01.177  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000646;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:10:01.177  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000645;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:10:03.984  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000634;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:10:09.255  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000014919;	 killer Rentd|0000005109 SpaceMissile_ChainRockets_T5_Mk3 
21:10:15.196  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000797;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:10:16.498  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000014961;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:10:22.490  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000014981;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:10:30.074  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000014939;	 killer xSterben|0000007530 Weapon_AxeShot_T4_Rel 
21:10:43.925  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000635;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:10:45.944  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000761;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:10:54.137  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000437;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:10:54.138  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000402;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:10:54.138  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000417;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:10:54.138  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000440;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:10:55.930  CMBT   | Killed ClanShip_Torpedo|0000036275;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:10:57.167  CMBT   | Killed ClanShip_Torpedo|0000036279;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:10:59.189  CMBT   | Killed ClanShip_Torpedo|0000036277;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:11:00.042  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000583;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:11:00.042  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000586;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:11:00.043  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000549;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:11:00.043  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000551;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:11:00.266  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000782;	 killer n/a|-000000001 ClanShip_SideRocketTurret_t5 
21:11:00.488  CMBT   | Killed ClanShip_Torpedo|0000036281;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:11:04.236  CMBT   | Killed DistStation(Rule34)|0000038743;	 killer YanFei|0000005339 Weapon_ThorHammer_T5_Epic 
21:11:06.431  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000032094;	 killer ClanShip_SideTurret_t5|0000000737 ClanShip_SideTurret_t5 
21:11:10.700  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000032051;	 killer ClanShip_MainTurret_Empire|0000000275 ClanShip_MainTurret_Empire 
21:11:10.804  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000565;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:11:13.047  CMBT   | Killed ClanShip_FlakGun|0000000661;	 killer MaxVerzila|0000003196 SpaceMissile_Torpedo_T5_Mk3 
21:11:16.420  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_CraftSpec|0000003196;	 killer Jigolee|0000006334 Weapon_Plasmagun_Heavy_T5_Pirate 
21:11:25.174  CMBT   | Killed Jigolee	 Ship_Race5_M_ATTACK_Rank15|0000006334;	 killer FireWarrior|0000002764 Weapon_SeeressGun_T5_Epic 
21:11:25.221  CMBT   | Killed Feresey	 Ship_Race5_M_ATTACK_Rank15|0000001951;	 killer Ayaka|0000001780 Weapon_Hammer_T5_Epic 
